"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632960876.806869","717702601.37752","760451194.722168","852678170.41893","954968399.250467","1059710341.3757","1199968768.1342","1304238475.54572","1362103919.96094","1471549940.26198","1538201484.88546","1591248888.47279","1817197910.91781","1859916219.70373","1770097153.54831","1957789027.13985","2245797232.79212","1925280491.6063","2377953053.37092","2263489180.21641","2702680605.85031","2473150591.76975","2347430362.15644","2369823432.97813","2495561937.38643","2623720622.09359","2643760295.99961","2639315168.02316","2747821767.15291","2947640697.68666","3063985462.34886","3136655441.57925","2412322467.4464","3017311755.18008","3282344962.82564","3233132181.29714","",
"Africa Eastern and Southern","AFE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","25977846528.9197","28610647731.8695","29678542517.3804","32367210532.2638","34803491636.6523","37825167521.8318","40803683864.7657","44532051800.9133","45962014057.4299","50931170591.9533","55586503470.0846","67884634336.6164","85817008311.7358","99714059185.3462","100890678859.529","103465123270.62","114530302806.417","137978250163.229","170196282475.28","190057535781.606","185666227744.585","174527043308.932","170616831595.113","156916755279.971","158893116973.764","176126800471.784","203750151462.046","219445027282.026","226620824759.85","243022964516.069","234382683747.995","238367880443.261","239125777942.063","258064625476.811","271270992375.841","279681971658.516","264762080052.901","263200243272.389","266708906035.062","262249814756.442","262759784532.922","291720046022.625","364406261634.79","468199785782.03","540938996066.25","608562830433.339","666793429469.598","693494376096.256","747288157257.054","834654109254.193","914911968006.447","953977420206.426","966146349617.365","924872638832.362","866479681043.587","871344338817.029","939037497196.042","1007124126947.38","959506509293.059","1035733785828.68","1123381614450.6","1174953343814.1","1211953155272.64",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3855298264.10431","4330114357.85973","4996781463.93976","6145219406.73031","6962158645.4777","8668787530.00972","9768577941.33211","12642365226.8958","14864149924.334","16062706809.4182","19575474863.7514","21060159748.9596","21036150317.7626","20114103580.5321","19449602244.5449","19032212583.775","19092091282.3498","19698775580.2624","19236860322.2919","15384996781.5891","14887595113.2198","15544811236.1544","",
"Africa Western and Central","AFW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489611117979.889","526825903222.167","563456188571.32","593296434734.133","675879285235.479","756484636646.003","844875456773.026","831844907179.016","758331524818.274","698507989868.196","729888438876.286","781975661334.847","802259257671.841","848756799808.03","891731399132.943","864546552284.64","741723617353.383",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5909259345.62087","6967776377.60114","7107391339.02226","7208671184.62559","9792562775.05017","9209298635.09159","11055721312.0955","4204442002.1732","3769324229.12095","2453448143.24748","5114858307.35252","5181567600.33338","6626510906.35851","6315855791.71355","5275181596.40862","5902874417.85882","6690072759.63723","10317790755.4238","12827056103.3366","19001072908.8889","26682881050.1435","36533903479.9142","51493392701.2754","65661156909.1291","71274868322.3487","75541595072.9602","82604385198.9268","104804655530.747","123089247468.865","130422069415.184","110414347932.605","74246131635.2853","63162374518.4857","61533771356.4081","68335787525.7111","56331404563.5967","56607120856.9807","66552373407.6129","78111993717.1965","83996121677.7801",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","1830963758.03966","1887276655.63912","2114290463.45928","2250946642.49285","2308259449.5744","2445669340.55044","2144674610.30862","1340594874.81326","906184212.333676","1024263065.09968","1216680599.48079","2133568176.54198","2981037575.94731","2692943307.515","2727011361.35882","2995684426.13312","3491414609.01827","4035825414.46784","4325616722.62418","5175916850.21727","6562432689.09019","8094365204.76332","9376494409.39264","10624927125.5972","12257086699.9937","12850475688.3242","12904077526.6537","12954659984.4892","12674469967.8688","13206240350.3533","13189097886.773","12715417093.2017","12563409307.2457","12458632586.8702","14078519289.8988","15139915794.98","15103517322.9941","17283334175.1073","18934330930.4404","21085442634.1994","23594433056.8604",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3552046783.07492","3284843013.4622","3504828591.53463","3793394288.79671","3874360436.07838","4004487518.31026",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","33773112956.0893","38078961716.8361","43088954740.6838","48182288971.6204","60187330779.5739","73920163034.1388","111430674780.927","157859207011.969","221239793504.551","245334328156.611","280737435996.44","363147268841.997","458115302549.669","513391015862.241","497602213244.223","454195955639.089","448481795741.756","447708122876.813","455682738036.428","479925570365.97","499635979602.22","508182868285.632","586414469035.48","476191423467.748","500928642449.832","499553685288.257","511690371136.029","533127372207.205","565750659453.922","605568796781.344","614597650007.282","627962960034.76","696920617698.936","741790706312.047","744367463071.543","805367548490.878","959358117653.054","1125051707264.27","1331132308451.45","1563899332753.41","1875067606533.29","1945869283422.05","2098004380628.17","2259885725474.42","2634082333160.12","2865216657121.22","2953936234259.06","2832776751822.31","2707246616060.47","2582906093624.84","2748265287372.27","2912580816228.49","2748372067199.77","2975758016578.23","3421684808927.61","3659759303744.52","3728037775237.86",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","1987689763.48415","2880658617.70698","5825654749.61449","11034541789.6002","18673543960.3927","24051016258.982","25925065453.5839","36178105862.3075","47680171641.8824","52595929596.6897","48880657334.4484","43503308136.2497","44135011017.5724","42473057127.0896","35039898628.0717","39263304905.7819","40393320288.9641","45436842777.174","55495216417.9128","54417098146.0838","57494227394.6065","58111255411.0858","62096213379.2929","68760750299.5011","73557830180.7752","81214339387.7303","80926293897.6849","79671865462.3309","98424973047.7077","105599045563.768","107622937091.727","121688462672.034","147125913781.427","172049400253.225","208706760111.203","244207313021.935","282949443992.749","277083140716.798","288831878904.992","318229484610.127","362265412838.973","401300767697.275","419043427247.133","412572607046.62","399842928112.26","381717868803.34","405354216876.765","425698094940.86","386387183794.981","408246550753.54","464198958277.277","513949457950.404","538363555456.808",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","18997608072.4131","18924859186.5029","22202040969.5689","27307536016.7817","30359663534.3665","28316034885.9575","28110535227.4342","30585419212.5286","31582382532.3034","35775760790.7343","36156762383.3556","45649404114.866","62985567014.3734","70261202934.9088","61903678902.5869","59112910817.2946","67261427093.3171","81419317583.0951","91213168139.5787","79780400774.7134","76943271519.1708","83947790180.2833","95627376737.9998","93201118347.8954","104068473607.825","109352233223.808","122797206441.884","93898193857.5191","104077656083.185","127804913792.822","203568016622.907","241811454561.63","262184726924.847","256347178436.284","272663359670.34","290495337988.436","289536836748.234","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215445097642.32","258429317135.467","307363845739.273","315586429999.682","378241273935.818","442036314414.039","496044743443.058","543284023697.86","526784533342.356","543279945585.475","532504167159.506","578798149500.896","553193024104.448","504056284870.866","408628794998.707","456257174738.439","536800679798.868","586900838956.779","614323620534.772",
